Token,Length,Frequency
jeszcze,7,1
wyższej,7,1
rzeczywiście,12,1
uzupełnianego,13,1
przystępowania,14,1
wyraziły,8,1
przestępstwo,12,1
okresowo,8,1
urzeczywistniania,17,1
Państw,6,1
procedurze,10,1
pochodzenia,11,1
innego,6,1
skutecznego,11,1
wszczętego,10,1
ingerencji,10,1
pełną,5,1
dany,4,1
zadowalających,14,1
pracj,5,1
pomocą,6,1
całkowitej,10,1
kultu,5,1
uznawania,9,1
DEKLARACJA,10,1
dopóty,6,1
narodami,8,1
publicznej,10,1
rządu,5,1
wyborach,8,1
tajności,8,1
zobowiązaniach,14,1
przyszłych,10,1
zadowalającego,14,1
osobistych,10,1
prześladowania,14,1
stanu,5,1
oskarżenia,10,1
służebności,11,1
OGÓLNE,6,1
Członkowskich,13,1
niepodległości,14,1
zbudowania,10,1
dążyły,6,1
dostępna,8,1
kompetentnych,13,1
a,1,1
niewolnictwo,12,1
poszukiwania,12,1
pamięci,7,1
dyskryminacją,13,1
urodzenia,9,1
lekarską,8,1
handel,6,1
ostateczności,13,1
będącą,6,1
pogwałcenie,11,1
zasadami,8,1
przynajmniej,12,1
takiego,7,1
języków,7,1
granicach,9,1
Deklaracja,10,1
czyjekolwiek,12,1
grudnia,7,1
dobremu,7,1
prawem,6,1
równej,6,1
bezpieczeństwa,14,1
aktów,5,1
niewolnikiem,12,1
ścigania,8,1
ograniczony,11,1
skończoną,9,1
ono,3,1
powoływać,9,1
myśli,5,1
równorzędnej,12,1
ubezpieczeń,11,1
Krzewi,6,1
gospodarczych,13,1
wszelkimi,9,1
uciekać,7,1
zakazane,8,1
Organizacją,11,1
CZŁOWIEKA,9,1
osiągnięcia,11,1
uciskowi,8,1
urlopy,6,1
zapewniły,9,1
kary,4,1
utraty,6,1
uznawano,8,1
PRZETO,6,1
buntu,5,1
niepodległy,11,1
karać,5,1
powszechności,13,1
torturować,10,1
przewidziana,12,1
musiał,6,1
postępu,7,1
przepisami,10,1
tyranii,7,1
zamieszkujących,15,1
prywatne,8,1
rodzą,5,1
pełnej,6,1
odzież,6,1
słuchanym,9,1
dostępu,7,1
dopóki,6,1
lat,3,1
swą,3,1
prawach,7,1
opiekj,6,1
obradująca,10,1
nieprzestrzeganie,17,1
rządzeniu,9,1
największych,12,1
interesów,9,1
obdarzeni,9,1
uchwaliła,9,1
które,5,1
społeczeŃstwa,13,1
rodzinne,8,1
bezpłatna,9,1
zgodą,5,1
podstawowym,11,1
przypadku,9,1
stanowi,7,1
Oświata,7,1
zbiera,6,1
wszędzie,8,1
zasadności,10,1
zapewniono,10,1
otrzymywania,12,1
techniczna,10,1
rozwijania,10,1
okresowe,8,1
należenia,9,1
azyl,4,1
sam,3,1
Członkowskie,12,1
wartość,7,1
n,1,1
pospolitego,11,1
rozumienie,10,1
obszaru,7,1
osoba,5,1
zdrowie,7,1
wstrząsnęły,11,1
olbrzymie,9,1
Zjednoczone,11,1
Dokument,8,1
narażeniem,10,1
jakimkolwiek,12,1
przedstawicieli,15,1
ubezpieczenia,13,1
zdecydowanie,12,1
wymierzać,9,1
nauczanie,9,1
zalet,5,1
rzetelnych,10,1
sprawiedliwości,15,1
równe,5,1
doprowadzony,12,1
czynom,6,1
obszary,7,1
obyczajów,9,1
korespondencję,14,1
zatrzymać,9,1
ZGROMADZENIE,12,1
stale,5,1
wypadek,7,1
sądów,5,1
majątku,7,1
dokonania,9,1
pełnoletności,13,1
posiada,7,1
niezależnej,11,1
małżeńskie,10,1
sąd,3,1
służby,6,1
miejsca,7,1
poniżający,10,1
popieranie,10,1
podjęły,7,1
udowodni,8,1
zasięgu,7,1
większej,8,1
POWSZECHNA,10,1
podstawową,10,1
dyskryminację,13,1
przeciwko,9,1
Trzecia,7,1
Paryżu,6,1
jednomyślnie,12,1
specjalnej,10,1
ograniczenie,12,1
którego,7,1
także,5,1
równą,5,1
traktować,9,1
duchu,5,1
powrócić,8,1
zawarcia,8,1
kobiet,6,1
Są,2,1
politycznej,11,1
potrzeby,8,1
zawodowa,8,1
Rodzina,7,1
równego,7,1
tolerancję,10,1
podstawowa,10,1
walkę,5,1
najwznioślejszy,15,1
studia,6,1
rozwój,6,1
Małżeństwo,10,1
jemu,4,1
również,7,1
ogłoszono,9,1
słowa,5,1
swe,3,1
braterstwa,10,1
konstytucję,11,1
innym,5,1
wola,4,1
stanowiącego,12,1
ludu,4,1
jednostki,9,1
osoby,5,1
krajowego,9,1
postulaty,9,1
ponadto,7,1
sprawiedliwie,13,1
będą,4,1
urlopu,6,1
przyjaznych,11,1
PRAW,4,1
najtrwalszych,13,1
większość,9,1
honorowi,8,1
jakąkolwiek,11,1
ludźmi,6,1
niewątpliwie,12,1
opuścić,7,1
wygnać,6,1
nędzy,5,1
mieszkanie,10,1
strony,6,1
osiągnięć,9,1
który,5,1
jedynie,7,1
setek,5,1
międzynarodowego,16,1
choroby,7,1
pokoju,6,1
takiej,6,1
swój,4,1
wdowieństwa,11,1
rozumem,7,1
wynagrodzenia,13,1
środki,6,1
winy,4,1
mając,5,1
korzystają,10,1
podstawowe,10,1
jedno,5,1
procesu,7,1
poprawy,7,1
samodzielnie,12,1
opartych,8,1
powiernictwa,12,1
obowiązkowa,11,1
równych,7,1
wspólnoty,9,1
powinni,7,1
niż,3,1
własny,6,1
wysiłek,7,1
sprzecznego,11,1
równouprawnienie,16,1
prywatnie,9,1
pod,3,1
życiowej,8,1
tworzenia,9,1
ugruntowanie,12,1
spokojnego,10,1
bezrobocia,10,1
ten,3,1
wszyscy,7,1
niezbywalnych,13,1
stosowanie,10,1
wyrażania,9,1
rozstrzyganiu,13,1
Zgromadzenia,12,1
współpracę,10,1
politycznych,12,1
wiarę,5,1
zgromadzania,12,1
wspólny,7,1
stowarzyszania,14,1
jakiegoś,8,1
pełny,5,1
znaczenie,9,1
wyraża,6,1
odpowiedniego,13,1
przyznanych,11,1
zmuszać,7,1
organy,6,1
odmawiać,8,1
Wola,4,1
opieki,6,1
aresztować,10,1
drodze,6,1
rozsądne,8,1
domowe,6,1
popierania,10,1
przyrodzonej,12,1
skazany,7,1
praktykowanie,13,1
stosunków,9,1
wyrażoną,8,1
przynależy,10,1
ubiegać,7,1
ustaniu,7,1
ze,2,1
odniesieniu,11,1
sumienia,8,1
Preamble,8,1
płci,4,1
stowarzyszenia,14,1
mężczyzn,8,1
wychowywania,12,1
uwłaczaniu,10,1
wyżywienie,10,1
nauki,5,1
nieposzanowanie,15,1
zawierania,10,1
języka,6,1
warunkach,9,1
stopy,5,1
pogwałceniem,12,1
Powszechna,10,1
strachu,7,1
pozamałżeńskie,14,1
członków,8,1
stopniu,7,1
informacji,10,1
go,2,1
Narody,6,1
krajowym,8,1
głoszenia,9,1
uroczyście,10,1
krajem,6,1
inny,4,1
nakładać,8,1
podlega,7,1
barbarzyństwa,13,1
organizacją,11,1
indywidualnie,13,1
niezbędnych,11,1
taką,4,1
wolni,5,1
godzin,6,1
rozpowszechniania,17,1
innej,5,1
narodowy,8,1
dobrobyt,8,1
płatne,6,1
postępowych,11,1
nieludzki,9,1
realizacji,10,1
publicznego,11,1
przywróciły,11,1
poruszania,10,1
jakiejkolwiek,13,1
granice,7,1
zrozumienie,11,1
dążenie,7,1
przekonań,9,1
zasobami,8,1
pracujący,9,1
krajowych,9,1
wysuwanego,10,1
stanowiącym,11,1
międzynarodową,14,1
Matka,5,1
naturalną,9,1
życie,5,1
członek,7,1
komórką,7,1
Wszystkie,9,1
najwyższy,9,1
czynu,5,1
sytuacji,8,1
Uroczyście,10,1
wielu,5,1
celami,6,1
dziecko,7,1
osiągnięciu,11,1
bezrobociem,11,1
międzynarodowym,15,1
bezstronny,10,1
niewolnikami,12,1
uczestniczenia,14,1
postaciach,10,1
ingerować,9,1
przyjaźń,8,1
Ogólnego,8,1
przeprowadzanych,16,1
odpowiadającą,13,1
Mają,4,1
zapewniającego,14,1
trwania,7,1
wszystkimi,10,1
okrutny,7,1
kobiety,7,1
porządkuje,10,1
rządzi,6,1
odwoływania,11,1
wypoczynku,10,1
imieniu,7,1
Organizacji,11,1
niemu,5,1
powszechnie,11,1
uprawianie,10,1
Sesja,5,1
ludów,5,1
działania,9,1
socjalne,8,1
zapewnić,8,1
uwłaczać,8,1
żadnej,6,1
według,6,1
Celem,5,1
współpracy,10,1
dostępne,8,1
