Token,Length,Frequency
Verbrechen,10,1
sonstigem,9,1
andere,6,1
erreichende,11,1
Vernunft,8,1
Strafverfolgung,15,1
Rufes,5,1
Entlohnung,10,1
Verachtung,10,1
Meinungsfreiheit,16,1
Völker,6,1
Leibeigenschaft,15,1
Stellung,8,1
geheimer,8,1
während,7,1
sowohl,6,1
Eingriffen,10,1
zwischen,8,1
Geschlecht,10,1
angehört,8,1
mitzuwirken,11,1
Fach-,5,1
eigenen,7,1
Haft,4,1
nur,3,1
strafbar,8,1
Frauen,6,1
ungehindert,11,1
innerstaatlichem,16,1
seinem,6,1
Gedankengut,11,1
Mensch,6,1
politischen,11,1
nichtpolitischer,16,1
bekennen,8,1
Heiratsfähige,13,1
bezahlten,9,1
Arbeitsbedingungen,18,1
über,4,1
deren,5,1
Des,3,1
verlassen,9,1
mindesten,9,1
Formen,6,1
Willenseinigung,15,1
Nichtanerkennung,16,1
höchste,7,1
beschlossen,11,1
angedrohte,10,1
Wohl,4,1
fortschreitende,15,1
besondere,9,1
hinzuwirken,11,1
Religionsfreiheit,17,1
Beschuldigung,13,1
einzelne,8,1
Unterricht,10,1
voller,6,1
Resolution,10,1
innerhalb,9,1
ergänzt,7,1
Gewalt,6,1
insbesondere,12,1
außereheliche,13,1
Verteidigung,12,1
Mitglied,8,1
Gerechtigkeit,13,1
etwa,4,1
Völkern,7,1
Schuld,6,1
Eigentums,9,1
sollen,6,1
empfangen,9,1
eingeschränkt,13,1
gründen,7,1
Vertreter,9,1
noch,4,1
Furcht,6,1
sichert,7,1
steht,5,1
unparteiischen,14,1
ihre,4,1
Eigentum,8,1
worden,6,1
Rede-,5,1
Ausdruck,8,1
Beziehungen,11,1
Erfüllung,9,1
Stand,5,1
10.12.1948,10,1
zusammenzuschließen,19,1
innerstaatliche,15,1
Weltanschauung,14,1
Pflichten,9,1
Fürsorge,8,1
ausgesetzt,10,1
Autorität,9,1
gemäß,5,1
Unterdrückung,13,1
Schutzmaßnahmen,15,1
Verfassung,10,1
Lohn,4,1
verletzt,8,1
zustehenen,10,1
erfolgt,7,1
Frieden,7,1
begegnen,8,1
unterworfen,11,1
privat,6,1
Aufenthaltsort,14,1
Tyrannei,8,1
Barbarei,8,1
Organisation,12,1
Grundeinheit,12,1
Rechtes,7,1
Akten,5,1
Ehre,4,1
unmenschlicher,14,1
derartigen,10,1
Vermögen,8,1
regelmäßige,11,1
Begrenzung,10,1
Urlaub,6,1
entsprechende,13,1
daß,3,1
Glauben,7,1
verkündeten,11,1
öffentliches,12,1
Hautfarbe,9,1
Zugang,6,1
Existenz,8,1
Herkunft,8,1
Herrschaft,10,1
Grundrechte,11,1
solange,7,1
aller,5,1
Glaubensfreiheit,16,1
beraubt,7,1
solche,6,1
einander,8,1
sozialer,8,1
innerstaatlichen,16,1
politischer,11,1
künftigen,9,1
allgemein,9,1
Niemandem,9,1
Wahlen,6,1
Wahlverfahren,13,1
rechtsfähig,11,1
notwendigen,11,1
Asyl,4,1
festgenommen,12,1
freier,6,1
bessere,7,1
Lebensstandard,14,1
Unterstützung,13,1
nationale,9,1
größter,7,1
Rücksicht,9,1
Angelegenheiten,15,1
arbeitet,8,1
volle,5,1
Leistungen,10,1
Empörung,8,1
Eine,4,1
Staat,5,1
Grundfreiheiten,15,1
Kulthandlungen,14,1
Unterlassung,12,1
Freizeit,8,1
eheliche,8,1
gilt,4,1
unterstehenden,14,1
Stimmabgabe,11,1
gelten,6,1
gewählte,8,1
Hochschulunterricht,19,1
gemeinsame,10,1
anzuhängen,10,1
Berufsschulunterricht,21,1
Ebenso,6,1
Gewissens-,10,1
sonst,5,1
müssen,6,1
besitzt,7,1
Gleichheit,10,1
beschuldigt,11,1
Privatleben,11,1
unabhängigen,12,1
bekräftigt,10,1
Frau,4,1
Verständnis,11,1
Ausübung,8,1
Ziele,5,1
diesen,6,1
Not,3,1
unentgeltlich,13,1
Verfolgung,10,1
Gestaltung,10,1
Aufstand,8,1
verhängt,8,1
wirtschaftlichen,16,1
Gebiete,7,1
verfügbar,9,1
erfüllen,8,1
Eheschließung,13,1
erniedrigender,14,1
Erziehung,9,1
gemeinsames,11,1
internationalem,15,1
Medien,6,1
erhobenen,9,1
Meinungen,9,1
Treuhandschaft,14,1
Souveränität,12,1
Forschritt,10,1
Rechtsbehelf,12,1
Mütter,6,1
unabhängig,10,1
Geburt,6,1
ob,2,1
Gericht,7,1
Hoheitsgewalt,13,1
genommen,8,1
Behandlung,10,1
greifen,7,1
ihn,3,1
verurteilt,10,1
geboren,7,1
Schriftverkehr,14,1
Lehre,5,1
grundlegende,12,1
sonstiger,9,1
stets,5,1
Gewerkschaften,14,1
angeborenen,11,1
wählen,6,1
schwerere,9,1
unmittelbar,11,1
kommen,6,1
war,3,1
anzugehören,11,1
Folter,6,1
innezuhaben,11,1
verwiesen,9,1
Ländern,7,1
Gesundheit,10,1
kann,4,1
Gleichberechtigung,18,1
notwendige,10,1
Sklavenhandel,13,1
Berufswahl,10,1
Umstände,8,1
geschlossen,11,1
anerkannt,9,1
gleichwertigen,14,1
Alter,5,1
Volkes,6,1
Charta,6,1
Mann,4,1
Persönlichkeit,14,1
III,3,1
entzogen,8,1
gegenwärtig,11,1
verbreiten,10,1
kulturellen,11,1
Versorgung,10,1
Auflösung,9,1
Feststellung,12,1
gerechtes,9,1
vernünftige,11,1
