Token,Length,Frequency
puriysichinanpaj,16,1
kallpaykuspa,12,1
jawaqa,6,1
wajnejpipis,11,1
mashkha,7,1
rimayninkuna,12,1
maykamallapis,13,1
chijllanankupaj,15,1
imaynatachus,12,1
presuchasqa,11,1
sajra,5,1
kamachispa,10,1
tiakunanpaj,11,1
ley,3,1
pijpallatapis,13,1
munayninmanta,13,1
phishqayoj,10,1
llajtanmanta,12,1
ruakunan,8,1
sutiyojqa,9,1
kasqallanta,11,1
creenciamanpis,14,1
kawsakunanku,12,1
paralyniyojpis,14,1
llank'asqanmantatajri,21,1
kawsasqanta,11,1
masipura,8,1
qheshwa,7,1
khuskachan,10,1
ruanankupaj,11,1
wañuchi,7,1
atiyninkunaqa,13,1
kamachillantajmin,17,1
atisqanta,9,1
yawar,5,1
llank'anallantapuni,19,1
tukukunanpaj,12,1
purichiyta,10,1
lllank'asqanmatna,17,1
naciones,8,1
watasqa,7,1
sindicatumanta,14,1
derechosniyojllataj,19,1
honranta,8,1
llajtanku,9,1
payllamantachus,15,1
llajtanpi,9,1
may,3,1
ujllachakuyta,13,1
riparaspalla,12,1
qhatispa,8,1
unidas,6,1
sojta,5,1
kawsakuyninpi,13,1
aylluqa,7,1
religionmanpis,14,1
llank'aspallapunitaj,20,1
imapi,5,1
qotumanta,9,1
t'aqarayta,10,1
puririyta,9,1
uyarinankupaj,13,1
apuntachikuspa,14,1
yacharinankama,14,1
qharqorparisqa,14,1
atiykusqa,9,1
qharipis,8,1
munanqanku,10,1
qhelqesunchej,13,1
wajnojtachinankuchu,19,1
yana,4,1
llajtanmantaj,13,1
kunanpaj,8,1
apaykachariyta,14,1
wajnejman,9,1
aylluspata,10,1
jinakamalla,11,1
munarisqallantapuni,19,1
ujllachasqallapuni,18,1
unanchanankupaj,15,1
karuncharikuspa,15,1
llank'ajkunata,14,1
purisqanta,10,1
abususta,8,1
masillapis,10,1
honorniyojtaj,13,1
atikuyta,8,1
ujpallatapis,12,1
puriytataj,10,1
ayñillapipuni,13,1
kaymantataj,11,1
kapuyllamanpis,14,1
usuchinqankuchu,15,1
apaykachaspa,12,1
wasillamanpis,13,1
kaymantapis,11,1
preamble,8,1
pachaj,6,1
yachananchejpaj,15,1
munanman,8,1
llawar,6,1
t'akariyta,10,1
chayamujtillan,14,1
esclavitud,10,1
ujpaj,5,1
qhatinanku,10,1
jap'isqankuman,14,1
kajllamanta,11,1
unanchaspa,10,1
samarikusaspataj,16,1
llajtanchejnintinpaj,20,1
yananchakunankupaj,18,1
llank'asqanmanta,16,1
llajtanpipis,12,1
kallpañojña,11,1
contranpi,9,1
nasekuntu,9,1
garantiastataj,14,1
declaracionespi,15,1
concienciawanpis,16,1
qanchisniyoj,12,1
purikuj,7,1
derechosllawantaj,17,1
junt'aykuspaqa,14,1
kawsakuyman,11,1
puriyta,7,1
p'unchayllaña,13,1
qheshpi,7,1
phishqa,7,1
waqaychapunanku,15,1
khuskallapuni,13,1
ruasqanmanta,12,1
pij,3,1
qollumanpis,11,1
masikunaj,9,1
tukuypunitaj,12,1
jisq'onniyoj,12,1
pusaj,5,1
manpunitaj,10,1
jinapurasqanwan,15,1
yanapachikuspachus,18,1
amparasqa,9,1
manamin,7,1
sindicatupi,11,1
chaypis,7,1
pejtuspi,8,1
s,1,1
kamachis,8,1
muchuykunaman,13,1
atikusqanta,11,1
sujituchu,9,1
masi,4,1
yupachikunanpaj,15,1
kankuman,8,1
warmipis,8,1
kasan,5,1
karqa,5,1
ujllapatachu,12,1
kaspaqa,7,1
masisninnejta,13,1
alqota,6,1
munayninkuqa,12,1
ruasqanmantaqa,14,1
parlaspari,10,1
llajtallapipis,14,1
libres,6,1
munakuyllapi,12,1
t'aqakunqanku,13,1
llank'aspa,10,1
kikillantataj,13,1
jinachu,7,1
llakiykunaman,13,1
qhawaykachayta,14,1
leyeswan,8,1
kuti,4,1
qhalichakurqa,13,1
religionllamantapis,19,1
qayllankupipis,14,1
a,1,1
kaqanrayku,10,1
jinaqa,6,1
qhapariyta,10,1
kawsaypaj,9,1
rikhurichispa,13,1
llawartapis,11,1
rimaykunamanta,14,1
derechosniyojllapuni,20,1
juchayojpuni,12,1
purichijkuna,12,1
rikhurinankupajtaj,18,1
sojtayoj,8,1
kallpasqachu,12,1
junt'akunanta,13,1
apusninta,9,1
p'unchay,8,1
religionnintawan,16,1
waillasqankuta,14,1
nisqaman,8,1
runakaj,7,1
ruasqasninmanta,15,1
sat'ikusqankurayku,18,1
juchasninmantachus,18,1
jatun,5,1
llajtasmanta,12,1
ichus,5,1
ruanan,6,1
derechusnin,11,1
servidumbreman,14,1
apaykachayta,12,1
rimasqanta,10,1
ujniyojpata,11,1
sapa,4,1
atinman,7,1
nacional,8,1
runayaspallapuni,16,1
leypa,5,1
chantaqa,8,1
derecho,7,1
ruaspataj,9,1
sajramanta,10,1
yanninta,8,1
ujkunawan,9,1
chajrukuyta,11,1
tukuykunanpaj,13,1
creenciatawanqa,15,1
rimarinanpaj,12,1
ukhu,4,1
munankumantaj,13,1
atiyqa,6,1
sindicatuta,11,1
qotuman,7,1
ruanasninta,11,1
atiyninku,9,1
sirk'asninpi,12,1
religionpis,11,1
qhelqesqanku,12,1
kajmanta,8,1
qhatinanpajtaj,14,1
samarinkunankupaj,17,1
obligacionesnintaj,18,1
tapuykachakunanpaj,18,1
wasinpitaj,10,1
nillataj,8,1
yanaparikuspa,13,1
patapitaj,9,1
kanqanku,8,1
munaylla,8,1
qheshpisqataj,13,1
kananpajqa,10,1
kawsakuyta,10,1
sut'inchananpajtaj,18,1
kayninpaj,9,1
qhepallanpi,11,1
rimasqata,9,1
pakasqa,7,1
tumpasasqankumanta,18,1
manchikuyniyoj,14,1
tiyniyoj,8,1
qhaparikusqanman,16,1
kawsaynin,9,1
casamientomanta,15,1
pachaman,8,1
yachananpaj,11,1
religiontawan,13,1
kasqankurayku,13,1
purikunanpaj,12,1
llank'ananpaj,13,1
paytaj,6,1
qolqesapakunamanta,18,1
unayta,6,1
kawsakunankupaj,15,1
rejsikapunanpaj,15,1
kapuyninpis,11,1
jark'arinanpaj,14,1
ñawpaj,6,1
sumj,4,1
mask'ananpaj,12,1
ñak'arinanpaj,13,1
tumpasasqankuta,15,1
ñawpaqenkupi,12,1
juchapipis,10,1
ruasajtinpacha,14,1
sajramantaqa,12,1
juchachakujkunapajchu,21,1
wasichakuyta,12,1
atiy,4,1
kanqapuni,9,1
kinsa,5,1
puka,4,1
qhawachikunapaj,15,1
oponekunankuchu,15,1
wajchakunata,12,1
chayraykutaj,12,1
juchan,6,1
tial,4,1
munanqa,7,1
atiyninghej,11,1
rikhurinman,11,1
llajtanpa,9,1
wasinpi,7,1
uyarichikuyta,13,1
jinamanta,9,1
unancharispataj,15,1
religionwanpis,14,1
kasqanraykupis,14,1
imawanchus,10,1
qhelqerqanku,12,1
llajtan,7,1
imakunachus,11,1
sut'inchakunanpaj,17,1
yuyayllapipis,13,1
chaykunata,10,1
sut'inchaspa,12,1
kawsayman,9,1
atiyniyojtaj,12,1
jark'arikunanpaj,16,1
kamachisqallanmanchu,20,1
rejsikapusqanta,15,1
ruasqan,7,1
obligacionesniycjllataj,23,1
waranqa,7,1
llojsipuyta,11,1
maynejllamantapis,17,1
estadovan,9,1
cheqanejllapipis,16,1
qanchis,7,1
runaspaj,8,1
qhawaspataj,11,1
qhapajkunamanta,15,1
muchunanchu,11,1
ujllachu,8,1
kaytaqa,7,1
ñawiyojkunamanta,16,1
kasqanman,9,1
jucha,5,1
kaswayninta,11,1
wata,4,1
kikillanmantataj,16,1
qharispis,9,1
qhelqesqa,9,1
paqarimujkuna,13,1
rimarisqanrayku,15,1
wasipi,6,1
penal,5,1
jinalla,7,1
ninri,5,1
riman,5,1
razonwantaj,11,1
paykunawantajri,15,1
legitimun,9,1
kawsay,6,1
qhawarisqataj,13,1
justicia,8,1
religiontachus,14,1
jinata,6,1
aymara,6,1
pipajchus,9,1
p'unchaymanta,13,1
yapakunqachu,12,1
missing,7,1
kikillantaj,11,1
munayqa,7,1
kallparparisqachu,17,1
nisqaqa,7,1
tapuykachaspataj,16,1
imakunatachus,13,1
yachayniyoj,11,1
atinku,6,1
llajtamanta,11,1
t'ojpisqachu,12,1
mit'amantapis,13,1
pejtusqa,8,1
llakiyta,8,1
munaynillanku,13,1
llajtaspaj,10,1
qolqeta,7,1
qhawapayasqachu,15,1
qhaparinanpaj,13,1
qollumantapis,13,1
kamachinankupaj,15,1
llajtanmantapis,15,1
rimasqa,7,1
chijllarina,11,1
jap'inapuri,11,1
kawsayllapuni,13,1
elecciones,10,1
munanpaj,8,1
concienciawantaj,16,1
atiyninkuta,11,1
yupaychasqataj,14,1
ruasqa,6,1
runakunawan,11,1
runajpa,7,1
k'umuykachachinqankuchu,23,1
kajkuna,7,1
ujllachasqa,11,1
yanapachikunanpaj,17,1
llajtallamantapis,17,1
parlananpaj,11,1
warmispis,9,1
qallarisasparaj,15,1
ninrimanta,10,1
kamachista,10,1
ayqeykachachisan,16,1
sonqochasqa,11,1
karikunanpaj,12,1
yuyasqanta,10,1
tantallapuni,12,1
yuyasqantawan,13,1
juchaman,8,1
yuyasqanwanpis,14,1
internacional,13,1
juchawan,8,1
masisnintaj,11,1
imaynapi,8,1
creenciapis,11,1
ñawpaqenpi,10,1
yaykunanpaj,11,1
yachakusaspa,12,1
jark'asqa,9,1
llajtayojchus,13,1
ashkhakunajpatapis,18,1
jark'asqachu,12,1
ayqeykachachisanku,18,1
rejsikapuyta,12,1
kunkapis,8,1
concienciantawan,16,1
yupachikuyta,12,1
wajyarichikunanpaj,18,1
justiciawan,11,1
kutimpuyta,10,1
dotasqa,7,1
runayayta,9,1
rimayta,7,1
wajcha,6,1
laajtaswan,10,1
juchanraykupis,14,1
wisq'asqa,9,1
