Token,Length,Frequency
atugaqartuneerneq,17,1
arsaarneqarsinnaanngilaq,24,1
oqaatsit,8,1
nalunngissusianik,17,1
tunngavigisaannullu,19,1
iluanni,7,1
sumiginnaanerit,15,1
killiliivigineqarsimagaluarpat,30,1
ilaqutariinnermi,16,1
qunusiaanermullu,16,1
itigartinneqarsinnaanngilaq,27,1
siunertaralugu,14,1
unnerluutigineqarnermini,24,1
attaveqarfigisaasa,18,1
tungaanut,9,1
taamaattumik,12,1
kajumissaarutaasinnaasunut,26,1
pitsaanerulersitsinissaq,24,1
qalipaataa,10,1
tunngaviummata,14,1
siuarsaaniarnissaq,18,1
tarnillu,8,1
sakkortunerusunik,17,1
pigisaqassuseq,14,1
pisinnaatitaaffeqartussaapput,29,1
annertunerulersinnissaa,23,1
aappanissinnaatitaapput,23,1
arlaatigut,10,1
inunngorput,11,1
atatillugu,10,1
inuiaqatigiinnik,16,1
isumakuluuteqaranilu,20,1
sunulluunniit,13,1
tunniunneqartunik,17,1
illersorneqarnissaat,20,1
pissuseqarnissaq,16,1
taakkunannga,12,1
unnerluussaanerni,17,1
inerteqqutigineqassapput,24,1
pissutsit,9,1
atuartitsineq,13,1
inuunermut,10,1
pinngitsuusutut,15,1
eqqissinissamullu,17,1
iliuuserisimasaq,16,1
naalagaaffit,12,1
attuumassuteqanngitsutut,24,1
imaluunniitt,12,1
ataqqinninnerulernissaq,23,1
pissutiagalugit,15,1
atuartitsinikkut,16,1
inuuniarnermilu,15,1
assigiimmik,11,1
eqqartuussivimmi,16,1
inuiaassutsikkut,16,1
tusarliunneqartareersimammat,28,1
inuiaat,7,1
inussiaarniarnerlu,18,1
pissusissamisoortumik,21,1
anguniagassatut,15,1
tamatmik,8,1
atugarliorfigisassarinngisaannik,32,1
assigiinngisinneqarnissamut,27,1
iliorsinnaanissamut,19,1
innuttaassutsimik,17,1
aammattaaq,10,1
imminnut,8,1
taaneqartunik,13,1
aalajangersimasup,17,1
akuersissuteqarneq,18,1
ammip,5,1
ataasiusortaapput,17,1
namminersorsinnaassusiiagaassanngilaq,37,1
tunngasutigut,13,1
pisinnaatitaaffeqarfiannik,26,1
pisinnaatitaaffimminut,22,1
pinerata,8,1
inuisa,6,1
atasuunermut,12,1
naammassiniarneqarnissaat,25,1
nalunaarutigaat,15,1
paasinninneq,12,1
pisinnaatitaaffeqarnissaannik,29,1
akiuunniartariaqalissanngippat,30,1
inissisimaneq,13,1
solernut,8,1
aappariikerneq,14,1
attaveqanngitsumi,17,1
naalagaaffimmillu,17,1
pissusilerorsimasutut,21,1
peqatigiinnikkut,16,1
sukkulluunniit,14,1
unnerluutigineqartoq,20,1
narrunarsaataasumillu,21,1
nammineersinnaassuseqarlutik,28,1
tamanik,7,1
innuttaassuseqarnissamut,24,1
perorsaanerlu,13,1
matumunnga,10,1
tamanullu,9,1
guutisiornikkut,15,1
najugaqarfissamik,17,1
namminerisaminik,16,1
angerlarsimaffimmi,18,1
nammineerluni,13,1
pisussanngortimmata,19,1
aappariinnerup,14,1
annaasassaanngitsumillu,23,1
iliuutsinut,11,1
nunami,6,1
nalunngissusiatigut,19,1
allanngortitsinissami,21,1
nassataqartarmata,17,1
s,1,1
inuuniarnissamut,16,1
assigiinngisitsineqassanngilaq,30,1
nunagisamit,11,1
piiaaffigineqarsinnaanngilaq,28,1
iliuuseqarnikkut,16,1
akuersaarneqarlutillu,21,1
sumilluunniit,13,1
aallartitaasa,13,1
tamakkuninnga,13,1
aappariilersussat,17,1
naalliutserujussuarneqassanngilaq,33,1
tamassa,7,1
assigiinngisinneqalernissamut,29,1
aallaqqaasiut,13,1
pillagaassutaasinnaasut,23,1
upperisamik,11,1
aalajangerneqartuniit,21,1
naakkittaatsuliornerujussuarnik,31,1
ilaasortaasuni,14,1
inussiaateqarneq,16,1
sunniuteqartumik,16,1
pineqartunut,12,1
tigummigallagassanngortitaassanani,34,1
tunngavissiisumillu,19,1
qanoluunniit,12,1
suliniuteqarnerisigut,21,1
naammaginartumik,16,1
aalajangersimasunut,19,1
innuttaassutsiminik,19,1
innuttaaqatigiinni,18,1
pereerlugit,11,1
silarsuarmiunut,15,1
inunnut,7,1
tigusarineqassanngliq,21,1
qunutitsinermut,15,1
namminersortuunngikkaluarpalluunniit,36,1
ataqqinassuseqarlutillu,23,1
akuliuffigineqarnissamut,24,1
arnaaneqangutaaneq,18,1
aalassatsitsisartunik,21,1
isumalluarfigigitsik,20,1
kialuunniit,11,1
pineqarpoq,10,1
sumiiffimmi,11,1
peqatigiilluni,14,1
ataneq,6,1
aqunneqartuni,13,1
pilersitsinissaq,16,1
sutigut,7,1
tamatumani,10,1
akuliuffigineqassanngilaq,25,1
naligiissitaasussaapput,23,1
allnanngortitsisinnaatitaanermik,32,1
inuiaqatigiinnit,16,1
sumiiffinni,11,1
pisinnaalersinnaassaaq,22,1
illersorniarnissamut,20,1
assigiimmillu,13,1
anguniassagaat,14,1
eqqartuussiviit,15,1
ass,3,1
naapertuilluarnermut,20,1
qatanngutigiittut,17,1
sumi,4,1
pisussaasutulluunniit,21,1
piumasaqarsinnaatitaavoq,24,1
malersugaanermut,16,1
oqaaseqarsinnaatitaanissamut,28,1
taamatut,8,1
pingaaruteqarnerpaammat,23,1
nunallu,7,1
iliorfigineqarnissamik,22,1
qimaaffissarsiornissamut,24,1
pisinnaatitaaffik,17,1
isumaqarneq,11,1
isumaqatigiissutikkut,21,1
alliartuinnartumik,18,1
uppernarsaqqimmassuk,20,1
sapilerluni,11,1
sullissisut,11,1
nalunaaruteqarnissamut,22,1
saassunneqassanani,18,1
nakerisarsiortuunngitsumi,25,1
pineqarput,10,1
matumuuna,9,1
annertusarniassallugu,21,1
iliorsinnaatitaanernut,22,1
tunngavigalugit,15,1
aatsaat,7,1
nammineersinnaassuseqarnissamut,31,1
aalajangiussimallugulu,22,1
innuttaassusrqarnermut,22,1
nalunaarummi,12,1
namminersortumilluunniit,24,1
peqatigiinnerup,15,1
angalaarsinnaatitaavoq,22,1
ikinngutinnersumik,18,1
imminnullu,10,1
innarliisunut,13,1
eqqartuussisoqarnerani,22,1
ilaqutariit,11,1
oqartussaaffigineqaraluarpat,28,1
isumaqatigiissutigippassuk,26,1
maani,5,1
tamatuminnga,12,1
inuiaqatigiinnullu,18,1
pinerluutinut,13,1
suleqatigalugit,15,1
susassaqartut,13,1
pilersugaapput,14,1
aappariigunnaarnerup,20,1
eqqortuliortumik,16,1
inunnguutsimit,14,1
saassunneqarnissamut,20,1
pillarneqassanani,17,1
iliuutsit,9,1
tunngatillugu,13,1
akitsisitaaqqinnissamut,23,1
isigineqarsinnaatitaanissamut,29,1
aammattaq,9,1
pisassalittut,13,1
anersaavani,11,1
nunap,5,1
iliuuseqanngitsoorsimanerluunniit,33,1
tamakkununnga,13,1
nalunaajaateqarnissami,22,1
namminerisatut,14,1
pineqassananilu,15,1
pisinnaatitaanermi,18,1
pilersitsisinnaatitaallutik,27,1
naalakkersugaanerani,20,1
manna,5,1
naalakkersuinermut,18,1
kinal,5,1
tunngassuteqavissuni,20,1
ilaqutariinnillu,16,1
uunniit,7,1
nalunaarutikkut,15,1
naakkittaatsumik,16,1
nunani,6,1
namminerisani,13,1
uppernarsarneqarnissaata,24,1
ukioqalerseersimasut,20,1
peqqarniitsumik,15,1
tunngaviusutut,14,1
pillarneqaataasussaanngitsut,28,1
akuliuffigineqarani,19,1
unnersuussutigineqartunik,25,1
uniffiginagit,13,1
taamatulluunniit,16,1
naligiissitaalluinnarnikkut,27,1
tamakkiisumillu,15,1
pisinnaatitaaffeqarnerisa,25,1
nalinginnaasumik,16,1
isummaminik,11,1
pisinnaatitaaffimmi,19,1
allaffigeqatigiittarnikkut,26,1
anguniagaattut,14,1
pingaartinneqarnissaat,22,1
allani,6,1
pisussaaffimminullu,19,1
naalakkersorsinnaassusia,24,1
missing,7,1
iliorsinnaatitaaffinnut,23,1
eqqartuussisinnaanikkut,23,1
taana,5,1
aappariilernissaq,17,1
iliorfigeqatigiittariaqaraluarput,33,1
atuiumasinnaavoq,16,1
pisinnaatitaallutik,19,1
allatulluunniit,15,1
ataqqinassusermik,17,1
iliuuseqarsimanerni,19,1
upperisaqarneq,14,1
illersorneqartussaallutik,25,1
peersitaassanani,16,1
ataqqinassusiata,16,1
qularnaarniassallugu,20,1
piviusunngortitsinissamut,25,1
naalagaaffinni,14,1
erianassusiatalu,16,1
killeqarfiisa,13,1
attaveqarfeqanngikkaluarpalluunniit,35,1
uppernarsaatissat,17,1
inatsiseqarnikkut,17,1
akornuteqanngitsumik,20,1
naalagaaffinnit,15,1
eqqarsartaatsikkut,18,1
tunngaviginiarneqarsinnaanngilaq,32,1
aappariilernissap,17,1
ataqqineqarnerup,16,1
upperisaq,9,1
inatsisaat,10,1
pinngitsaaliinertaqanngitsumik,30,1
pisuutinniarneqarsinnaanngilaq,30,1
pisinnaatitaaffeqarlutik,24,1
nalunngissusiinik,17,1
pigisaqartussaatitaavoq,23,1
pisinnaatitaapput,17,1
sumiiffik,9,1
solaqassusermik,15,1
nammineq,8,1
qimaaffissinneqarnissamullu,27,1
naammassinninniarnikkut,23,1
pillarneqaataasinnaasumik,25,1
toqqaasinnaatitaalluni,22,1
kiisalu,7,1
pisariaqartinneqartut,21,1
nalunaarummut,13,1
tusaamaneqarnerullu,19,1
isigineqarnissamut,18,1
asissuinerillu,14,1
tungaasigut,11,1
nunarsuarmik,12,1
namminissarsiortumik,20,1
eqqartuussisarnermi,19,1
pisussaaffimmik,15,1
illerorneqarsinnaatitaavoq,26,1
inussiaatigineqaraniluunniit,28,1
isuma,5,1
